Noise,LEA,CN,HCN,Vibration,20LOG10VDV,CV,HCV,Combinations,CT,HCT,TLOG10VDV,T20LOG10VDV,TLEA
N3V0,71,2.202774636,0,V3N0,-16.54933262,2.202774636,0,,0.815,0,-1.135926376,-22.71852752,59
N3V0,71,3.883237714,0,V3N0,-16.54933262,3.192833637,0,,3.883237714,0,-1.135926376,-22.71852752,59
N3V0,71,3.883237714,0,V3N0,-16.54933262,3.883237714,0,,3.883237714,0,-1.135926376,-22.71852752,59
N3V0,71,3.883237714,0,V3N0,-16.54933262,3.192833637,0,,3.192833637,0,-1.135926376,-22.71852752,59
N3V0,71,3.192833637,0,V3N0,-16.54933262,4.537024483,0,,4.537024483,0,-1.135926376,-22.71852752,59
N3V0,71,2.202774636,0,V3N0,-16.54933262,2.202774636,0,,2.202774636,0,-1.135926376,-22.71852752,59
N3V0,71,3.192833637,0,V3N0,-16.54933262,2.202774636,0,,2.202774636,0,-1.135926376,-22.71852752,59
N3V0,71,3.883237714,0,V3N0,-16.54933262,NA,NA,,NA,NA,-1.135926376,-22.71852752,59
N3V0,71,4.537024483,0,V3N0,-16.54933262,3.883237714,0,,3.883237714,0,-1.135926376,-22.71852752,59
N3V0,71,3.192833637,0,V3N0,-16.54933262,3.192833637,0,,2.202774636,0,-1.135926376,-22.71852752,59
N3V0,71,2.202774636,0,V3N0,-16.54933262,3.192833637,0,,0.815,0,-1.135926376,-22.71852752,59
N3V0,71,2.202774636,0,V3N0,-16.54933262,0.815,0,,0.815,0,-1.135926376,-22.71852752,59
N3V0,71,2.202774636,0,V3N0,-16.54933262,2.202774636,0,,2.202774636,0,-1.135926376,-22.71852752,59
N3V0,71,2.202774636,0,V3N0,-16.54933262,NA,NA,,NA,NA,-1.135926376,-22.71852752,59
N4V0,77,5.297576177,1,V4N0,-12.91663896,5.297576177,1,V2N2,3.192833637,0,-1.135926376,-22.71852752,65
N4V0,77,3.883237714,0,V4N0,-12.91663896,2.202774636,0,,3.192833637,0,-1.135926376,-22.71852752,65
N4V0,77,3.883237714,0,V4N0,-12.91663896,3.192833637,0,,2.202774636,0,-1.135926376,-22.71852752,65
N4V0,77,6.237370812,1,V4N0,-12.91663896,4.537024483,0,,5.297576177,1,-1.135926376,-22.71852752,65
N4V0,77,6.237370812,1,V4N0,-12.91663896,3.883237714,0,,4.537024483,0,-1.135926376,-22.71852752,65
N4V0,77,6.237370812,1,V4N0,-12.91663896,3.883237714,0,,3.883237714,0,-1.135926376,-22.71852752,65
N4V0,77,3.192833637,0,V4N0,-12.91663896,4.537024483,0,,3.883237714,0,-1.135926376,-22.71852752,65
N4V0,77,4.537024483,0,V4N0,-12.91663896,4.537024483,0,,3.883237714,0,-1.135926376,-22.71852752,65
N4V0,77,3.883237714,0,V4N0,-12.91663896,4.537024483,0,,3.192833637,0,-1.135926376,-22.71852752,65
N4V0,77,6.237370812,1,V4N0,-12.91663896,4.537024483,0,,3.192833637,0,-1.135926376,-22.71852752,65
N4V0,77,4.537024483,0,V4N0,-12.91663896,4.537024483,0,,2.202774636,0,-1.135926376,-22.71852752,65
N4V0,77,3.192833637,0,V4N0,-12.91663896,2.202774636,0,,2.202774636,0,-1.135926376,-22.71852752,65
N4V0,77,3.192833637,0,V4N0,-12.91663896,3.192833637,0,,2.202774636,0,-1.135926376,-22.71852752,65
N4V0,77,3.192833637,0,V4N0,-12.91663896,3.192833637,0,,NA,NA,-1.135926376,-22.71852752,65
N4V0,77,4.537024483,0,V4N0,-12.91663896,3.192833637,0,,3.883237714,0,-1.135926376,-22.71852752,65
N4V0,77,3.192833637,0,V4N0,-12.91663896,2.202774636,0,,3.192833637,0,-1.135926376,-22.71852752,65
N4V0,77,5.297576177,1,V4N0,-12.91663896,3.192833637,0,,3.192833637,0,-1.135926376,-22.71852752,65
N4V0,77,4.537024483,0,V4N0,-12.91663896,4.537024483,0,,0.815,0,-1.135926376,-22.71852752,65
N4V0,77,3.192833637,0,V4N0,-12.91663896,2.202774636,0,,3.192833637,0,-1.135926376,-22.71852752,65
N4V0,77,4.537024483,0,V4N0,-12.91663896,3.883237714,0,,NA,NA,-1.135926376,-22.71852752,65
N5V0,83,6.237370812,1,V5N0,-7.19785624,5.297576177,1,V2N3,3.883237714,0,-1.135926376,-22.71852752,71
N5V0,83,5.297576177,1,V5N0,-7.19785624,2.202774636,0,,3.192833637,0,-1.135926376,-22.71852752,71
N5V0,83,6.237370812,1,V5N0,-7.19785624,3.883237714,0,,3.192833637,0,-1.135926376,-22.71852752,71
N5V0,83,6.237370812,1,V5N0,-7.19785624,5.297576177,1,,6.237370812,1,-1.135926376,-22.71852752,71
N5V0,83,5.297576177,1,V5N0,-7.19785624,5.297576177,1,,3.883237714,0,-1.135926376,-22.71852752,71
N5V0,83,6.237370812,1,V5N0,-7.19785624,4.537024483,0,,4.537024483,0,-1.135926376,-22.71852752,71
N5V0,83,3.883237714,0,V5N0,-7.19785624,5.297576177,1,,3.192833637,0,-1.135926376,-22.71852752,71
N5V0,83,4.537024483,0,V5N0,-7.19785624,5.297576177,1,,5.297576177,1,-1.135926376,-22.71852752,71
N5V0,83,5.297576177,1,V5N0,-7.19785624,5.297576177,1,,4.537024483,0,-1.135926376,-22.71852752,71
N5V0,83,6.237370812,1,V5N0,-7.19785624,5.297576177,1,,2.202774636,0,-1.135926376,-22.71852752,71
N5V0,83,4.537024483,0,V5N0,-7.19785624,3.883237714,0,,3.192833637,0,-1.135926376,-22.71852752,71
N5V0,83,3.192833637,0,V5N0,-7.19785624,3.192833637,0,,3.192833637,0,-1.135926376,-22.71852752,71
N5V0,83,3.192833637,0,V5N0,-7.19785624,3.192833637,0,,3.192833637,0,-1.135926376,-22.71852752,71
N5V0,83,4.537024483,0,V5N0,-7.19785624,4.537024483,0,,NA,NA,-1.135926376,-22.71852752,71
N5V0,83,6.237370812,1,V5N0,-7.19785624,6.237370812,1,,4.537024483,0,-1.135926376,-22.71852752,71
N5V0,83,5.297576177,1,V5N0,-7.19785624,3.192833637,0,,2.202774636,0,-1.135926376,-22.71852752,71
N5V0,83,6.237370812,1,V5N0,-7.19785624,3.192833637,0,,2.202774636,0,-1.135926376,-22.71852752,71
N5V0,83,4.537024483,0,V5N0,-7.19785624,4.537024483,0,,3.192833637,0,-1.135926376,-22.71852752,71
N5V0,83,4.537024483,0,V5N0,-7.19785624,3.883237714,0,,4.537024483,0,-1.135926376,-22.71852752,71
N5V0,83,4.537024483,0,V5N0,-7.19785624,4.537024483,0,,NA,NA,-1.135926376,-22.71852752,71
N6V0,89,6.237370812,1,,,,,V3N1,3.192833637,0,-0.827466631,-16.54933262,59
N6V0,89,6.237370812,1,,,,,,3.883237714,0,-0.827466631,-16.54933262,59
N6V0,89,6.237370812,1,,,,,,2.202774636,0,-0.827466631,-16.54933262,59
N6V0,89,6.237370812,1,,,,,,3.883237714,0,-0.827466631,-16.54933262,59
N6V0,89,6.237370812,1,,,,,,3.883237714,0,-0.827466631,-16.54933262,59
N6V0,89,6.237370812,1,,,,,,3.883237714,0,-0.827466631,-16.54933262,59
N6V0,89,5.297576177,1,,,,,,3.192833637,0,-0.827466631,-16.54933262,59
N6V0,89,6.237370812,1,,,,,,3.192833637,0,-0.827466631,-16.54933262,59
N6V0,89,5.297576177,1,,,,,,3.883237714,0,-0.827466631,-16.54933262,59
N6V0,89,6.237370812,1,,,,,,3.192833637,0,-0.827466631,-16.54933262,59
N6V0,89,6.237370812,1,,,,,,2.202774636,0,-0.827466631,-16.54933262,59
N6V0,89,4.537024483,0,,,,,,2.202774636,0,-0.827466631,-16.54933262,59
N6V0,89,4.537024483,0,,,,,,2.202774636,0,-0.827466631,-16.54933262,59
N6V0,89,5.297576177,1,,,,,,NA,NA,-0.827466631,-16.54933262,59
N6V0,89,6.237370812,1,,,,,,4.537024483,0,-0.827466631,-16.54933262,59
N6V0,89,4.537024483,0,,,,,,3.192833637,0,-0.827466631,-16.54933262,59
N6V0,89,5.297576177,1,,,,,,2.202774636,0,-0.827466631,-16.54933262,59
N6V0,89,5.297576177,1,,,,,,2.202774636,0,-0.827466631,-16.54933262,59
N6V0,89,5.297576177,1,,,,,,2.202774636,0,-0.827466631,-16.54933262,59
N6V0,89,5.297576177,1,,,,,,NA,NA,-0.827466631,-16.54933262,59
,,,,,,,,V3N2,3.192833637,0,-0.827466631,-16.54933262,65
,,,,,,,,,2.202774636,0,-0.827466631,-16.54933262,65
,,,,,,,,,2.202774636,0,-0.827466631,-16.54933262,65
,,,,,,,,,6.237370812,1,-0.827466631,-16.54933262,65
,,,,,,,,,4.537024483,0,-0.827466631,-16.54933262,65
,,,,,,,,,4.537024483,0,-0.827466631,-16.54933262,65
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,65
,,,,,,,,,4.537024483,0,-0.827466631,-16.54933262,65
,,,,,,,,,4.537024483,0,-0.827466631,-16.54933262,65
,,,,,,,,,4.537024483,0,-0.827466631,-16.54933262,65
,,,,,,,,,2.202774636,0,-0.827466631,-16.54933262,65
,,,,,,,,,0.815,0,-0.827466631,-16.54933262,65
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,65
,,,,,,,,,NA,NA,-0.827466631,-16.54933262,65
,,,,,,,,,4.537024483,0,-0.827466631,-16.54933262,65
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,65
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,65
,,,,,,,,,2.202774636,0,-0.827466631,-16.54933262,65
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,65
,,,,,,,,,NA,NA,-0.827466631,-16.54933262,65
,,,,,,,,V3N3,4.537024483,0,-0.827466631,-16.54933262,71
,,,,,,,,,4.537024483,0,-0.827466631,-16.54933262,71
,,,,,,,,,2.202774636,0,-0.827466631,-16.54933262,71
,,,,,,,,,6.237370812,1,-0.827466631,-16.54933262,71
,,,,,,,,,5.297576177,1,-0.827466631,-16.54933262,71
,,,,,,,,,3.883237714,0,-0.827466631,-16.54933262,71
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,71
,,,,,,,,,4.537024483,0,-0.827466631,-16.54933262,71
,,,,,,,,,3.883237714,0,-0.827466631,-16.54933262,71
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,71
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,71
,,,,,,,,,2.202774636,0,-0.827466631,-16.54933262,71
,,,,,,,,,2.202774636,0,-0.827466631,-16.54933262,71
,,,,,,,,,NA,NA,-0.827466631,-16.54933262,71
,,,,,,,,,4.537024483,0,-0.827466631,-16.54933262,71
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,71
,,,,,,,,,2.202774636,0,-0.827466631,-16.54933262,71
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,71
,,,,,,,,,3.883237714,0,-0.827466631,-16.54933262,71
,,,,,,,,,NA,NA,-0.827466631,-16.54933262,71
,,,,,,,,V3N4,6.237370812,1,-0.827466631,-16.54933262,77
,,,,,,,,,3.883237714,0,-0.827466631,-16.54933262,77
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,77
,,,,,,,,,6.237370812,1,-0.827466631,-16.54933262,77
,,,,,,,,,5.297576177,1,-0.827466631,-16.54933262,77
,,,,,,,,,3.883237714,0,-0.827466631,-16.54933262,77
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,77
,,,,,,,,,4.537024483,0,-0.827466631,-16.54933262,77
,,,,,,,,,4.537024483,0,-0.827466631,-16.54933262,77
,,,,,,,,,3.883237714,0,-0.827466631,-16.54933262,77
,,,,,,,,,3.883237714,0,-0.827466631,-16.54933262,77
,,,,,,,,,2.202774636,0,-0.827466631,-16.54933262,77
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,77
,,,,,,,,,NA,NA,-0.827466631,-16.54933262,77
,,,,,,,,,6.237370812,1,-0.827466631,-16.54933262,77
,,,,,,,,,3.192833637,0,-0.827466631,-16.54933262,77
,,,,,,,,,3.883237714,0,-0.827466631,-16.54933262,77
,,,,,,,,,4.537024483,0,-0.827466631,-16.54933262,77
,,,,,,,,,4.537024483,0,-0.827466631,-16.54933262,77
,,,,,,,,,NA,NA,-0.827466631,-16.54933262,77
,,,,,,,,V4N1,5.297576177,1,-0.645831949,-12.91663897,59
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,59
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,59
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,59
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,59
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,59
,,,,,,,,,2.202774636,0,-0.645831949,-12.91663897,59
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,59
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,59
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,59
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,59
,,,,,,,,,2.202774636,0,-0.645831949,-12.91663897,59
,,,,,,,,,2.202774636,0,-0.645831949,-12.91663897,59
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,59
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,59
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,59
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,59
,,,,,,,,,2.202774636,0,-0.645831949,-12.91663897,59
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,59
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,59
,,,,,,,,V4N2,5.297576177,1,-0.645831949,-12.91663897,65
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,65
,,,,,,,,,2.202774636,0,-0.645831949,-12.91663897,65
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,65
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,65
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,65
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,65
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,65
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,65
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,65
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,65
,,,,,,,,,2.202774636,0,-0.645831949,-12.91663897,65
,,,,,,,,,2.202774636,0,-0.645831949,-12.91663897,65
,,,,,,,,,2.202774636,0,-0.645831949,-12.91663897,65
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,65
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,65
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,65
,,,,,,,,,2.202774636,0,-0.645831949,-12.91663897,65
,,,,,,,,,2.202774636,0,-0.645831949,-12.91663897,65
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,65
,,,,,,,,V4N3,5.297576177,1,-0.645831949,-12.91663897,71
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,71
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,71
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,71
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,71
,,,,,,,,,6.237370812,1,-0.645831949,-12.91663897,71
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,71
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,71
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,71
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,71
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,71
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,71
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,71
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,71
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,71
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,71
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,71
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,71
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,71
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,71
,,,,,,,,V4N4,6.237370812,1,-0.645831949,-12.91663897,77
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,77
,,,,,,,,,6.237370812,1,-0.645831949,-12.91663897,77
,,,,,,,,,6.237370812,1,-0.645831949,-12.91663897,77
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,77
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,77
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,77
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,77
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,77
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,77
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,77
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,77
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,77
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,77
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,77
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,77
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,77
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,77
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,77
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,77
,,,,,,,,V4N5,6.237370812,1,-0.645831949,-12.91663897,83
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,83
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,83
,,,,,,,,,6.237370812,1,-0.645831949,-12.91663897,83
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,83
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,83
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,83
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,83
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,83
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,83
,,,,,,,,,6.237370812,1,-0.645831949,-12.91663897,83
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,83
,,,,,,,,,3.192833637,0,-0.645831949,-12.91663897,83
,,,,,,,,,3.883237714,0,-0.645831949,-12.91663897,83
,,,,,,,,,6.237370812,1,-0.645831949,-12.91663897,83
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,83
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,83
,,,,,,,,,5.297576177,1,-0.645831949,-12.91663897,83
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,83
,,,,,,,,,4.537024483,0,-0.645831949,-12.91663897,83
,,,,,,,,V5N1,4.537024483,0,-0.359892812,-7.197856233,59
,,,,,,,,,3.192833637,0,-0.359892812,-7.197856233,59
,,,,,,,,,3.192833637,0,-0.359892812,-7.197856233,59
,,,,,,,,,5.297576177,1,-0.359892812,-7.197856233,59
,,,,,,,,,5.297576177,1,-0.359892812,-7.197856233,59
,,,,,,,,,5.297576177,1,-0.359892812,-7.197856233,59
,,,,,,,,,3.883237714,0,-0.359892812,-7.197856233,59
,,,,,,,,,5.297576177,1,-0.359892812,-7.197856233,59
,,,,,,,,,5.297576177,1,-0.359892812,-7.197856233,59
,,,,,,,,,4.537024483,0,-0.359892812,-7.197856233,59
,,,,,,,,,6.237370812,1,-0.359892812,-7.197856233,59
,,,,,,,,,3.883237714,0,-0.359892812,-7.197856233,59
,,,,,,,,,3.192833637,0,-0.359892812,-7.197856233,59
,,,,,,,,,3.883237714,0,-0.359892812,-7.197856233,59
,,,,,,,,,4.537024483,0,-0.359892812,-7.197856233,59
,,,,,,,,,3.883237714,0,-0.359892812,-7.197856233,59
,,,,,,,,,4.537024483,0,-0.359892812,-7.197856233,59
,,,,,,,,,4.537024483,0,-0.359892812,-7.197856233,59
,,,,,,,,,2.202774636,0,-0.359892812,-7.197856233,59
,,,,,,,,,4.537024483,0,-0.359892812,-7.197856233,59
,,,,,,,,V5N2,5.297576177,1,-0.359892812,-7.197856233,65
,,,,,,,,,3.883237714,0,-0.359892812,-7.197856233,65
,,,,,,,,,6.237370812,1,-0.359892812,-7.197856233,65
,,,,,,,,,4.537024483,0,-0.359892812,-7.197856233,65
,,,,,,,,,6.237370812,1,-0.359892812,-7.197856233,65
,,,,,,,,,4.537024483,0,-0.359892812,-7.197856233,65
,,,,,,,,,4.537024483,0,-0.359892812,-7.197856233,65
,,,,,,,,,5.297576177,1,-0.359892812,-7.197856233,65
,,,,,,,,,6.237370812,1,-0.359892812,-7.197856233,65
,,,,,,,,,3.883237714,0,-0.359892812,-7.197856233,65
,,,,,,,,,5.297576177,1,-0.359892812,-7.197856233,65
,,,,,,,,,3.192833637,0,-0.359892812,-7.197856233,65
,,,,,,,,,3.192833637,0,-0.359892812,-7.197856233,65
,,,,,,,,,4.537024483,0,-0.359892812,-7.197856233,65
,,,,,,,,,6.237370812,1,-0.359892812,-7.197856233,65
,,,,,,,,,3.883237714,0,-0.359892812,-7.197856233,65
,,,,,,,,,2.202774636,0,-0.359892812,-7.197856233,65
,,,,,,,,,3.192833637,0,-0.359892812,-7.197856233,65
,,,,,,,,,3.883237714,0,-0.359892812,-7.197856233,65
,,,,,,,,,4.537024483,0,-0.359892812,-7.197856233,65
,,,,,,,,V5N3,5.297576177,1,-0.359892812,-7.197856233,71
,,,,,,,,,3.883237714,0,-0.359892812,-7.197856233,71
,,,,,,,,,2.202774636,0,-0.359892812,-7.197856233,71
,,,,,,,,,5.297576177,1,-0.359892812,-7.197856233,71
,,,,,,,,,3.883237714,0,-0.359892812,-7.197856233,71
,,,,,,,,,5.297576177,1,-0.359892812,-7.197856233,71
,,,,,,,,,4.537024483,0,-0.359892812,-7.197856233,71
,,,,,,,,,5.297576177,1,-0.359892812,-7.197856233,71
,,,,,,,,,5.297576177,1,-0.359892812,-7.197856233,71
,,,,,,,,,3.192833637,0,-0.359892812,-7.197856233,71
,,,,,,,,,5.297576177,1,-0.359892812,-7.197856233,71
,,,,,,,,,2.202774636,0,-0.359892812,-7.197856233,71
,,,,,,,,,3.192833637,0,-0.359892812,-7.197856233,71
